CID;TABCD;LCD;CLASS;TCD;STCD;ROADNUMBER;ROADNAME;FIRSTNAME;SECONDNAME;AREA_REF;AREA_NAME
11;25;44980;L;7;0;;;D35 Olomouc;Mìstec;32607;Ostrov
11;25;9925;L;5;0;;Na Oøechovce;Starodejvická;Patoèkova;192;Praha 6
11;25;25412;L;1;4;III/0063;;Velká Dobrá;Unhoš;103;Kladno
11;25;9301;L;1;3;II/365;;Letovice;Svojanov;10;Èesko
11;25;20232;L;5;0;;Tvrdého;Lipová;Gorazdova;255;Brno-støed
11;25;9011;L;5;0;;Blanická;Francouzská;Vinohradská;205;Praha 2
11;25;35285;L;5;0;;Dobnerova;Stupkova;Na Vozovce;28507;Olomouc
11;25;36646;L;1;4;III/01857;;Pøerov;Dluhonice;28648;Pøerov
11;25;39463;L;5;0;;Kamenická;Ludvíkovice;Nám. Svobody;31504;Dìèín
11;25;53590;L;5;0;;Rvaèov;Nerudova;nám. Jana z Draic;31822;Roudnice nad Labem
11;25;45109;L;7;0;;;D35 Ostrava;II/437 Velkı Újezd;28560;Velkı Újezd
11;25;50774;L;7;0;;;Most-Komoøany;I/13 Chomutov;31964;Most
11;25;27002;L;5;0;;Havlíèkovo nábø.;Montánní;28. øíjna;31014;Ostrava
11;25;9233;L;1;3;II/297;;Èistá v Krkonoších;Trutnov;145;Trutnov
11;25;38993;L;5;0;;Poøíèní;Bechyòská;U Lesíka;30760;Tábor
11;25;20256;L;5;0;;Jandáskova;Gromešova;Tumaòanova;244;Brno-Øeèkovice a Mokrá Hora
11;25;47005;L;1;4;III/1947;;lutice;D6;128;Karlovy Vary
11;25;39632;L;5;0;;Kochova;Beethovenova;Spoøická;31568;Chomutov
11;25;47575;L;1;4;III/26820;;Klášter Hradištì nad Jizerou;Dolní Bukovina;107;Mladá Boleslav
11;25;46917;L;1;4;III/2187;;Kraslice;Aschberg (D);31313;Bublava
11;25;52654;L;5;0;;U Dıhárny;Tøebízského;Chvatìruby;29332;Kralupy nad Vltavou
11;25;54256;L;5;0;;Jungmannova;Svatoborská;Dobrovského;33586;Kyjov
11;25;9926;L;5;0;;Na pískách;Evropská;Šárecká;192;Praha 6
11;25;43313;L;7;0;;;D1 Brno;I/38 Jihlava/Havlíèkùv Brod;33640;Jihlava
11;25;9090;L;1;3;II/501;;Libáò;Hoøice;142;Jièín
11;25;21150;L;5;0;;Slivenecká;K Barrandovu;Hluboèepská;206;Praha 5
11;25;9050;L;5;0;;Prvního pluku/Trocnovská;Florenc;ikov;31010;Hl. m. Praha
11;25;43864;L;7;0;;;I/3 Mìšice;D3 Èeské Budìjovice;30760;Tábor
11;25;37527;L;1;4;III/05726;;Ronov pod Radhoštìm;Bystøièka;169;Vsetín
11;25;47401;L;1;4;III/23933;;Slanı;Hospozín;103;Kladno
11;25;21076;L;1;4;III/0339;;Jeníèkova Lhota;Ratiboøské Hory;30855;Ratiboøské Hory
11;25;24767;L;5;0;;Belcrediho;Holzova;nám. Karla IV.;250;Brno-Líšeò
11;25;23702;L;5;0;;Sobìšická;Tomkovo nám.;Seifertova;249;Brno-sever
11;25;9768;L;5;0;;Školní;Zdaboøská;Bøeznická;29798;Pøíbram
11;25;52157;L;5;0;;Jurije Gagarina;Rodinná;Tìšínská;31032;Havíøov
11;25;43509;L;7;0;;;D1 Ostrava;Kromìøí-vıchod;33834;Skaštice
11;25;44670;L;7;0;;;D10 Turnov;I/38 Nymburk;29471;Nepøevázka
11;25;24480;L;5;0;;Netroufalky;Jihlavská;Kamenice;33294;Brno
11;25;46438;L;1;4;III/1539;;Suchdol nad Lunicí;Chlum u Tøebonì;115;Jindøichùv Hradec
11;25;21023;L;1;4;III/25357;;Chabaøovice;Chlumec;136;Ústí nad Labem
11;25;9658;L;5;0;;Otılie Beníškové;Rooseveltova;Karlovarská;31011;Plzeò
11;25;41647;L;5;0;;Bøí. Mrštíkù;Fintajslova;nábø. Komenského;33426;Bøeclav
11;25;37467;L;1;4;III/28623;;Poniklá;Roudnice;140;Semily
11;25;5072;L;5;0;;Koperníkova;Nìmejcova;Tylova;31011;Plzeò
11;25;38554;L;5;0;;Rybnièní;Komenského;Vídeòská;30238;Jindøichùv Hradec
11;25;52074;L;7;0;;;Türkova;Vršovice;213;Praha 4
11;25;15306;L;1;4;III/2454;;Èelákovice;Pøerov nad Labem;81;Støedoèeskı kraj
