CID;TABCD;LCD;CLASS;TCD;STCD;ROADNUMBER;ROADNAME;FIRSTNAME;SECONDNAME;AREA_REF;AREA_NAME;ROA_LCD;ROA_TYPE;NEG_OFF;POS_OFF
11;25;734;L;3;0;I/42;Velký mìstský okruh Brno;Èernovická;Sportovní;33294;Brno;361;L2.2;733;732
11;25;888;L;3;0;II/191;;Cham (D);Klatovy;121;Klatovy;9131;L1.3;0;889
11;25;889;L;3;0;II/191;;Klatovy;Dožice;83;Plzeòský kraj;9131;L1.3;888;890
11;25;890;L;3;0;II/191;;Radošice;Pøíbram;10;Èesko;9131;L1.3;889;0
11;25;760;L;3;0;II/105;;Èeské Budìjovice;Milevsko;82;Jihoèeský kraj;1147;L1.3;0;761
11;25;761;L;3;0;II/105;;Milevsko;Praha;10;Èesko;1147;L1.3;760;0
11;25;639;L;3;0;I/9;;Praha;Mìlník;81;Støedoèeský kraj;328;L1.2;0;640
11;25;640;L;3;0;I/9;;Mìlník;Èeská Lípa;10;Èesko;328;L1.2;639;641
11;25;641;L;3;0;I/9;;Èeská Lípa;Bautzen (D);10;Èesko;328;L1.2;640;0
11;25;668;L;3;0;I/21;;Bor;Cheb;10;Èesko;340;L1.2;0;669
11;25;669;L;3;0;I/21;;Cheb;Plauen (D);127;Cheb;340;L1.2;668;0
11;25;670;L;3;0;I/22;;Draženov;Strakonice;52;Jihozápad;341;L1.2;0;671
11;25;671;L;3;0;I/22;;Strakonice;Vodòany;118;Strakonice;341;L1.2;670;0
11;25;637;L;3;0;I/8;;Lovosice;Teplice;85;Ústecký kraj;327;L1.2;0;638
11;25;638;L;3;0;I/8;;Teplice;Drážïany (D);135;Teplice;327;L1.2;637;0
11;25;882;L;3;0;D8;;Praha;Lovosice;10;Èesko;320;L1.1;0;883
11;25;883;L;3;0;D8;;Lovosice;Øehlovice;85;Ústecký kraj;320;L1.1;882;884
11;25;884;L;3;0;D8;;Øehlovice;Trmice;136;Ústí nad Labem;320;L1.1;883;885
